GeneName	0h-1	0h-2	3h-1	3h-2	6h-1	6h-2
Pkg21D	20	22	50	29	45	50
Nnf1b	1	7	6	9	6	7
Dbp21E2	26	32	50	39	59	72
Saf6	23	17	35	43	45	52
Pex12	11	21	30	21	43	35
CG15880	2	1	0	2	4	1
PGAP2	16	15	23	20	35	37
Clp	27	17	41	31	42	37
CG3662	708	707	1142	1014	1253	1521
CG3862	17	23	40	44	27	65
dock	96	75	128	156	161	231
drongo	514	520	909	709	972	1116
CG4291	26	28	33	37	41	36
kraken	146	172	236	245	329	335
CG13949	2	2	4	4	5	5
CG13950	5	7	13	14	17	9
aru	150	155	234	210	310	305
dbe	30	32	50	33	52	69
PNUTS	239	203	360	311	397	436
CG15824	33	22	62	46	65	61
ninaA	48	39	56	42	71	83
Lsp1beta	39	42	50	52	57	77
GluRIIC	8	14	16	24	24	21
CG4341	34	28	47	37	48	46
IA-2	659	725	1037	915	1359	1534
CG4375	89	76	122	116	127	164
CG4415	14	25	20	29	31	42
S	79	65	124	117	136	166
ast	35	35	49	53	70	71
Atg4a	147	143	222	227	283	322
CG4629	92	107	151	139	172	208
mtRNApol	54	62	128	109	138	139
CG14339	4	9	10	11	12	16
CG14340	1	1	3	1	0	2
Pino	730	764	1234	1014	1378	1587
TBC1D23	150	135	221	207	323	318
Iris	369	341	561	507	633	717
CG4577	150	142	235	202	268	287
MFS3	26	19	39	20	34	44
l(2)10685	23	20	27	29	33	45
Tfb4	7	18	16	22	33	27
Vps29	66	68	92	73	95	121
capt	307	350	508	502	625	723
Tango14	67	67	118	91	149	161
CG5080	566	581	872	877	1070	1241
IntS14	27	24	31	46	33	50
CG14341	25	27	43	40	48	40
Plap	153	151	242	216	296	316
CG31922	9	9	9	4	7	10
Charon	83	93	151	104	142	158
CG4887	114	91	172	169	204	239
CG4896	88	80	150	128	152	206
CG5126	142	125	209	196	228	254
Tgt	23	15	31	42	48	47
CG5001	64	76	108	89	151	145
CG5139	28	32	37	39	47	51
CG43348	8	16	10	12	22	33
CG43349	84	72	120	115	147	166
CG5011	102	125	192	174	231	259
CG14342	1	1	0	0	1	0
CG42329	18	26	27	46	53	43
CG5397	282	268	423	398	559	619
robo3	11	16	17	14	22	30
a5	1	3	1	1	1	7
CG5440	5	5	10	8	2	12
CG33923	0	0	0	0	0	0
CG33922	0	0	0	0	0	0
Cdlc2	32	32	63	66	53	88
CG5556	34	20	40	31	45	46
CG5561	20	21	35	48	46	61
CG31924	9	13	24	21	25	27
CG5565	43	49	72	63	70	112
CG31659	63	60	90	90	125	124
NLaz	338	297	424	410	496	584
CG14346	17	16	21	25	29	33
robo2	35	31	55	40	52	68
CG43401	1	2	9	3	8	11
CG43402	43	58	78	62	86	86
CG31928	14	10	28	23	23	29
CG33128	1	0	0	0	0	0
CG31926	6	5	5	5	7	10
CG31661	12	10	18	14	10	18
CG18131	32	41	51	62	85	97
CG7420	37	39	55	39	63	64
CG18132	7	7	10	14	15	14
halo	0	0	0	0	0	0
Or22a	0	0	0	1	0	1
Or22b	0	0	0	0	0	0
haf	20	20	28	25	28	36
CG10869	156	172	241	254	327	369
CG31935	75	70	110	100	135	146
CG14352	12	5	12	14	21	22
RFeSP	904	942	1512	1299	1710	1887
chinmo	45	60	83	74	100	118
cpb	150	127	212	210	262	323
CG17660	158	163	255	230	271	347
mRpL48	39	37	53	58	72	69
frtz	51	44	83	69	71	104
Rim2	216	213	362	333	445	485
Eno	3270	3410	5117	4894	6090	6820
Rrp40	22	19	30	29	30	54
CG31937	336	339	512	477	639	679
CG17652	23	14	15	21	29	31
CG17646	482	479	765	646	833	969
CG17712	31	35	57	43	55	72
CG17648	3	3	9	13	3	13
Gr22f	0	0	0	0	0	0
CG17650	10	9	11	11	20	16
Gr22e	0	0	0	0	0	0
Gr22d	0	0	1	0	0	0
Gr22c	0	0	0	0	0	0
Gr22b	0	0	0	0	0	0
Gr22a	0	0	0	0	0	0
CG31933	13	13	16	17	32	27
CG31664	8	16	15	21	14	22
c-cup	35	26	46	29	40	58
wry	45	50	78	55	102	99
CG31663	128	124	181	184	209	255
CG7295	24	24	37	39	44	51
CG15358	57	44	60	63	89	95
Wdr62	320	380	526	478	646	715
CG15357	3	6	5	3	6	8
CG33673	2	2	3	2	2	0
erm	1	2	4	4	6	1
Der-1	143	174	258	240	309	343
CG15356	52	58	80	62	87	122
CG15362	31	22	34	38	45	51
CG7289	116	122	182	170	203	271
Got2	1585	1527	2336	2055	2823	3034
Npc2a	171	168	296	270	321	367
Obp22a	27	18	60	48	45	70
CG33543	22	12	31	32	24	35
CG15353	3	3	8	6	13	10
Nplp4	0	5	3	4	4	10
CG4238	74	58	118	91	139	146
CG42296	0	0	1	0	2	4
lectin-22C	0	0	0	0	0	0
Su(dx)	286	284	452	418	522	575
Kebab	12	6	14	11	15	20
Or22c	0	0	0	0	0	0
dpr3	23	25	36	32	44	51
CG12674	14	15	17	27	28	36
CG4259	42	31	55	46	63	50
GlyP	2201	2300	3464	3278	4187	4614
tho2	143	137	234	175	259	304
CG11723	30	40	64	46	58	79
TBCD	74	98	129	110	130	160
AIF	134	124	223	190	236	261
CG15382	3	3	4	2	3	4
aop	229	243	326	309	353	451
CG10874	62	60	102	86	107	156
CG34172	89	90	154	170	190	219
CG31668	0	0	0	1	0	0
CG33124	0	1	0	0	0	2
CG15385	58	57	79	64	87	112
Uch	189	239	328	319	459	485
CG34174	3	9	5	7	15	14
daed	14	22	34	17	32	44
CG42371	81	78	118	115	158	151
CG15386	81	78	118	115	158	151
mio	71	70	100	113	114	144
papi	104	112	172	156	189	212
CG15387	11	13	19	18	19	16
sau	288	286	439	408	554	605
Sec24CD	263	269	452	394	494	569
Tengl3	17	23	41	29	50	37
Tengl2	5	5	9	17	10	10
Tengl1	26	19	32	38	39	55
CG4267	175	193	327	277	348	343
Ser12	10	13	18	6	11	23
CG17239	4	6	7	5	11	8
CG17234	0	0	0	0	0	0
Send1	6	11	15	18	14	19
CG4270	15	23	42	38	30	61
CG34049	6	5	12	7	13	18
CG17242	127	116	201	175	242	232
CG4271	30	28	21	32	39	48
CG31681	5	9	17	8	22	18
CG42658	3	5	3	3	10	3
CG17237	52	54	92	83	97	110
robl22E	7	9	9	13	12	19
CG31949	8	7	9	15	17	21
CG16995	5	14	14	12	20	14
CG9967	10	17	27	17	23	37
eys	68	74	107	99	126	131
Rab5	444	545	758	631	886	1045
Axud1	32	40	59	53	79	89
CG3597	226	282	401	378	465	545
CG3609	741	731	1140	1094	1370	1524
CG15390	5	3	4	6	9	16
Atxn7	52	74	111	99	113	127
Eogt	36	42	46	67	77	80
PIG-Wa	7	11	7	10	10	10
CG3557	20	25	29	27	33	35
CG43750	16	24	34	22	39	36
CG46448	5	6	9	7	15	14
VGlut	35	29	55	67	64	68
CG18641	8	2	6	9	8	6
CG31948	128	156	217	202	290	278
CG34448	0	0	0	0	1	1
CG34447	30	15	34	32	48	46
CG9886	112	113	208	179	226	225
CG44139	1	3	0	0	0	3
dpp	49	52	75	81	108	101
Slh	123	132	191	181	224	248
oaf	81	78	134	136	162	179
CG3528	14	10	14	13	25	26
CG3515	10	7	7	4	14	14
Cyp309a1	58	82	93	97	115	159
Cyp309a2	27	17	29	27	39	33
Rad1	8	6	19	6	14	15
Sws1	8	6	19	6	14	15
insv	27	23	35	32	40	46
Elba2	25	37	40	38	56	58
ND-B17.2	258	282	442	408	463	557
Arpc5	106	87	146	141	178	197
Drp1	275	281	440	361	495	586
CG15394	79	80	93	103	119	135
CG15395	6	6	20	16	22	26
CG43403	5	8	11	14	10	15
CG9962	10	8	7	9	6	8
CG43851	1	3	5	2	9	10
CG33125	56	42	70	54	89	81
Prosbeta4R1	8	3	10	14	21	18
Or23a	0	0	1	1	0	1
Prosbeta4R2	23	27	37	31	36	34
Trf4	5	6	13	5	15	21
Gr23a	0	0	0	0	0	0
CG31690	15	9	17	20	29	17
Trf5	2	1	1	2	0	0
CG31689	402	471	627	579	804	890
Hrs	129	137	225	210	261	285
CG9961	19	22	42	27	38	48
Cwc25	44	49	88	75	102	111
Pgk	1100	1162	1798	1745	2160	2320
Bacc	834	854	1311	1174	1570	1793
HemK2	57	55	100	72	100	101
Snapin	57	55	100	72	100	101
Tnpo-SR	29	23	48	36	43	64
Snx21	35	36	64	57	70	75
aph-1	29	29	41	50	57	64
Taf10b	21	35	41	40	39	43
Taf10	42	36	103	71	91	95
colt	320	341	574	442	675	701
HINT1	171	180	297	221	313	348
CG15399	3	4	8	8	4	8
Syt1	191	194	289	242	359	389
daw	40	57	79	66	113	123
CG2964	45	37	74	70	76	82
G6P	6	7	7	15	11	20
Duox	96	106	150	158	171	217
CG3123	2	3	6	1	6	5
CG3119	1	3	4	6	5	4
Cpr23B	0	0	0	0	0	0
CG2975	25	28	40	33	47	60
CG18558	0	1	1	1	4	3
CG18557	6	4	7	11	6	13
CG3117	1	0	4	0	1	3
CG2983	18	14	29	35	38	46
CG3104	7	7	14	15	17	15
RpS21	924	901	1347	1147	1411	1639
CG2991	180	195	304	243	341	384
CG31694	307	331	519	424	553	683
CG8813	66	78	119	92	118	158
CG8814	167	185	260	259	319	369
Prx6005	36	34	52	50	57	83
Sbat	19	26	24	19	23	35
betaggt-II	81	70	131	122	135	184
NTPase	320	365	548	513	630	710
lilli	206	192	307	286	402	471
Rbp9	287	292	433	345	487	564
Ts	21	32	52	46	53	60
Rrp1	80	59	106	87	130	105
gammaTub23C	27	20	38	34	47	69
CG9641	83	84	132	99	149	153
CG3165	30	38	84	34	56	75
CG9643	19	25	40	47	39	62
Chd1	273	231	368	342	448	476
Bem46	58	51	83	60	90	110
okr	21	20	29	24	33	44
CG3558	214	174	286	273	352	404
Ccdc85	19	11	31	21	33	38
CG17224	128	128	207	186	267	254
CG17264	41	39	59	48	46	61
alpha4GT1	62	60	116	80	98	133
CG3542	59	58	90	82	107	109
Sf3b2	93	99	140	164	176	212
CG17219	8	7	12	11	14	11
GABPI	43	39	73	56	80	84
CG17258	17	10	22	16	22	36
SerRS	214	217	300	303	386	465
CG17260	23	35	61	41	63	64
cnir	3	7	11	2	17	8
CG17221	66	59	100	99	155	149
CG17261	74	65	106	97	121	151
FASN2	891	921	1514	1410	1761	1786
FASN1	2795	2701	4267	4036	5039	5678
toc	296	282	486	403	556	613
PpD6	2	5	4	5	8	18
CG15403	13	18	25	25	23	31
ND-B14.5B	192	207	323	289	390	456
Mad	114	113	208	162	193	291
gkt	25	24	39	34	52	49
Hydr2	202	212	292	274	364	413
CG44002	1	5	6	14	12	14
CG31698	0	0	0	0	0	0
CG15404	0	0	0	0	0	0
CG34393	7	7	15	6	8	13
CG3347	4	4	6	9	7	10
OtopLb	52	60	73	90	101	98
CG9664	64	67	92	97	140	157
CG9663	91	85	157	110	176	174
CG3277	31	24	40	41	62	62
CG15406	174	198	290	241	353	372
Fign	1	4	5	3	5	14
CG8837	33	37	61	47	72	81
CG33281	85	88	151	127	173	185
CG33282	3	6	8	6	8	9
CG3285	71	66	120	104	157	166
CG15408	72	78	128	92	112	153
E23	74	59	89	83	119	141
CG8838	46	46	67	64	82	80
GramD1B	190	228	314	278	378	427
CG15412	36	41	60	46	71	74
CG9662	38	41	52	44	52	57
Ptpa	52	51	75	61	83	113
Sfp23F	2	9	12	8	12	7
CG42460	0	0	1	0	0	0
CG34175	9	8	8	15	11	16
Pgant2	46	52	83	66	88	109
CG8840	17	18	45	28	37	44
CG31952	35	56	63	57	96	104
CG2772	13	14	21	20	25	25
Snx1	175	158	236	212	318	315
CG12795	65	55	108	100	113	160
Cog3	53	75	99	119	124	136
Sec5	86	103	134	123	155	191
CG3246	482	472	725	671	925	1003
msl-2	41	48	70	87	81	88
ND-PDSW	331	350	470	451	629	639
Pif1	21	20	25	25	24	37
CG31776	5	3	10	4	14	8
Pgant4	65	83	120	103	169	160
Thor	580	628	919	833	1017	1153
CG15414	18	18	30	24	25	33
tim	514	541	736	641	952	985
CG31954	0	0	0	0	1	0
LeuRS	164	159	290	226	326	330
CG17593	216	206	328	267	368	418
CG3213	332	378	591	539	700	759
CG8851	46	44	80	62	95	109
Sr-CIV	12	12	17	17	15	29
CG8852	32	23	48	38	64	57
Spindly	29	27	51	37	44	50
IFT57	3	2	5	6	5	6
drm	81	74	108	109	132	157
CG43815	0	0	0	0	2	0
sob	8	5	12	7	8	11
odd	20	23	37	37	49	59
Ugt36A1	53	57	77	55	78	89
CG15418	10	21	17	14	13	25
for	549	547	807	755	967	1086
Drgx	7	6	12	9	12	11
Sfp24Ba	20	19	26	34	41	39
Sfp24Bd	11	14	17	18	22	30
Sfp24Bb	233	254	372	313	439	461
Sfp24Bc	16	11	13	18	29	20
CG16704	154	139	194	162	213	245
CG3513	31	53	62	61	82	91
Acp24A4	142	112	189	174	205	246
CG43165	1	4	3	5	7	4
CG16713	126	106	181	203	210	237
IM33	760	775	1160	1034	1258	1424
CG3604	32	40	48	52	64	77
CG10031	77	88	126	114	161	194
CG42464	4	3	6	4	9	9
CG42465	2	3	3	3	6	8
Sfp24C1	26	32	55	39	55	67
CG42467	1	5	7	4	8	4
CG43145	6	10	8	8	11	14
CG2816	7	4	10	12	12	10
CG31778	75	71	128	107	145	148
CG31777	43	56	77	76	88	105
cutlet	28	22	38	37	53	58
CG31955	7	4	4	7	6	9
CG2818	84	72	104	122	130	163
lectin-24A	0	0	0	0	0	0
Shaw	27	33	40	54	58	79
CG10019	5	6	6	3	7	5
CG43707	24	45	48	43	68	66
CG43703	1	1	0	2	1	1
bowl	84	72	112	109	133	158
CG31960	3	9	8	7	13	18
bark	116	136	170	149	230	258
Reph	62	94	151	109	121	175
CG3407	23	20	28	32	39	46
slp1	1	4	6	7	4	7
slp2	4	4	7	7	13	7
TTLL4B	170	188	293	286	345	405
Cep97	61	82	107	101	120	128
CG31957	18	25	34	23	51	41
capu	169	189	284	274	356	363
fred	12	10	10	19	12	16
CG31773	81	80	113	91	124	153
CG43797	0	0	1	0	0	0
CG34176	66	67	103	80	92	116
CG15422	83	98	139	146	179	213
CG15423	52	65	77	75	77	102
CG43773	0	0	0	0	1	0
CG43774	41	40	53	41	56	69
ed	163	175	261	245	322	360
Sr-CIII	0	0	0	0	0	0
Sr-CI	137	133	251	182	253	287
CG2955	136	125	199	191	250	264
Or24a	0	0	0	0	0	0
TBCC	29	28	42	38	61	59
lectin-24Db	51	68	86	92	103	111
Naprt	226	247	377	314	439	493
ft	12	16	19	23	23	26
CG3702	350	364	506	453	578	664
RpL40	1137	1138	1734	1590	2032	2219
CG15425	53	49	82	61	82	100
Art2	4	4	8	11	9	3
tutl	76	73	140	100	187	155
bdl	190	174	277	288	342	360
Atet	161	165	241	219	290	355
CG15429	8	13	16	21	9	17
Traf4	12	17	26	28	39	41
CG17612	8	16	17	27	19	26
Vps53	56	61	102	77	112	106
Psf2	25	32	77	45	78	75
Tps1	5264	5201	8031	7552	9536	10402
CG3652	49	47	82	72	99	97
l(2)k05819	137	139	234	218	269	278
CG33003	0	2	0	0	0	1
Dim1	17	18	25	30	33	34
CG15431	33	26	60	48	63	72
CG43055	14	12	20	31	27	37
CG34177	25	28	31	34	41	43
CG34178	19	25	26	29	40	42
CG43056	5	4	6	5	4	8
Sfp24F	34	33	58	35	64	59
CG15432	14	13	37	22	38	36
morgue	32	29	58	53	68	81
Elp3	40	41	79	70	89	97
MFS18	35	47	52	55	81	85
CG15439	29	38	55	37	54	55
Secp43	27	25	68	48	64	67
ND-B8	23	11	29	18	31	29
Gs1l	118	120	218	182	220	238
RpL27A	2086	2158	3118	2890	3724	4012
mRpL27	50	42	77	87	90	100
CG15435	19	18	27	27	30	37
CG15443	46	35	72	58	60	96
CG15436	8	5	14	15	17	20
FIG4	49	44	81	68	91	101
ine	129	120	192	171	242	240
dpy	205	209	276	285	382	429
HP6	7	4	17	10	14	16
BG642163	280	319	465	418	515	585
CG15635	129	131	248	216	254	266
CG43798	5	2	9	7	10	8
CG3355	1	0	1	0	0	0
CG11929	44	54	71	61	67	102
Bsg25A	0	0	0	0	0	0
Elba3	1	3	1	4	3	3
CG3251	6	2	2	5	8	7
CG34351	23	18	29	27	24	53
Taf12L	10	16	15	20	22	23
CG15631	32	48	71	57	66	82
fipi	32	40	45	35	60	77
CG42523	50	59	67	60	85	121
CG3294	9	7	19	10	28	26
slf	177	152	233	223	341	343
CG15629	22	28	27	20	32	42
CG3225	15	11	14	16	17	28
CG15628	135	122	193	199	251	298
Fnta	101	96	167	157	207	200
Ir25a	6	4	11	7	14	11
tank	95	92	155	129	176	208
CG12194	37	39	69	45	89	99
mxt	240	282	414	349	472	548
CG11927	49	50	66	64	75	99
mRpS2	50	55	94	72	90	131
Mon1	44	54	75	58	77	96
smog	19	19	22	35	34	26
Cf2	116	139	165	181	221	268
CG3008	139	133	218	180	247	263
CG15625	13	17	35	35	25	27
CG3036	413	418	652	582	800	875
snsl	0	1	3	4	4	4
hoe1	201	201	338	342	430	456
hoe2	29	30	42	34	46	39
Sgs1	0	0	1	0	0	0
CG14044	1	0	3	1	1	2
mRpL24	70	79	93	117	146	142
betaggt-I	85	80	154	135	164	194
jet	21	21	37	32	41	32
Jon25Biii	67	85	141	134	146	152
Jon25Bii	661	677	1032	1055	1333	1428
Jon25Bi	880	906	1432	1338	1661	1867
Marcal1	32	33	43	39	37	45
CG34124	25	28	37	31	37	47
CG34125	33	42	61	62	70	84
eIF3i	329	339	482	461	574	665
Scox	50	53	96	87	111	120
CG3756	24	25	44	39	59	42
l(2)05714	20	23	31	15	39	34
CG14043	93	58	136	125	163	195
mRpL28	179	206	328	280	361	448
Gmd	57	66	87	92	109	122
CG3792	67	69	102	91	106	145
CG8891	41	32	61	48	68	75
CG8892	48	42	62	64	94	91
CG34126	196	197	318	296	349	435
Rtnl1	697	704	1024	978	1266	1423
CG31917	51	55	94	79	114	107
Tfb5	51	55	94	79	114	107
SelT	156	150	268	210	263	310
vkg	708	714	1178	1060	1391	1439
Col4a1	1321	1261	2019	1917	2615	2851
SP555	38	30	60	49	83	67
CG14042	38	30	60	49	83	67
CG31650	60	77	119	103	131	143
CG44001	305	314	515	504	611	724
CG33995	305	314	515	504	611	724
CG44000	305	314	515	504	611	724
CG9121	14	8	19	16	29	24
eIF3h	297	293	487	459	572	664
senju	45	50	75	82	93	90
CG14036	14	21	30	19	30	36
His3.3A	203	227	318	294	426	467
Nepl3	6	5	8	12	10	15
Rpn11	263	252	416	367	497	585
qtc	111	162	198	222	275	294
RpL37A	1121	1161	1710	1557	1934	2223
Pgant5	196	191	311	282	348	418
CG5828	66	79	77	90	105	119
CG4230	81	79	108	132	175	181
ND-13A	199	204	350	278	317	375
Msp300	876	832	1287	1241	1578	1699
Cyp28d2	3	7	14	7	8	21
Cyp28d1	796	778	1173	1091	1460	1596
CG7742	70	57	95	88	109	112
CG14034	123	137	234	175	241	279
TpnC25D	174	159	295	243	302	370
tkv	152	181	288	251	323	372
Cyp4ac1	163	181	239	237	302	332
Cyp4ac2	64	53	75	67	80	109
Cyp4ac3	38	42	53	69	56	92
Bsg25D	104	114	178	154	212	235
Bub1	69	68	120	101	121	146
vri	177	184	260	224	307	322
CG14024	8	10	7	5	9	13
Ncoa6	149	132	193	209	245	271
cype	426	422	701	621	819	896
CG14022	57	74	116	104	131	163
TotM	344	348	478	467	637	679
fusl	94	108	157	149	197	186
CG12512	140	139	213	213	267	290
nompC	8	5	7	7	11	11
H15	2	4	5	6	1	3
mid	5	5	10	10	9	17
CG14020	3	4	2	7	5	8
CG7382	63	64	91	90	115	152
cl	222	209	346	298	373	429
Vps52	51	57	83	65	78	101
CG6907	102	106	155	148	195	203
Cap-D3	15	15	31	21	22	32
CG31648	25	21	36	36	48	61
CG31915	34	48	88	64	72	70
Coq6	183	230	342	326	375	399
tomb	2	3	3	1	7	10
CG14015	4	5	8	13	13	15
Hel25E	201	205	297	260	331	413
Lam	125	147	250	206	263	325
Oscillin	67	63	103	72	89	122
CG14014	0	0	0	0	0	0
CG18269	0	0	0	0	0	1
CG14013	26	18	20	26	26	38
CG14017	5	3	11	10	8	9
GluRIIA	17	16	22	26	31	35
GluRIIB	0	0	1	2	4	3
CG14011	19	17	34	37	56	35
CG7251	55	57	83	97	102	114
CG18266	53	27	73	82	114	111
DIP-eta	8	5	7	11	11	8
Cyp6a16	27	22	43	41	41	58
DIP-theta	15	5	9	15	9	17
Hsp60C	328	351	512	485	622	695
CG12511	3	1	5	7	6	5
CG7236	4	1	6	9	6	12
CG14007	0	1	2	1	2	0
CG34011	0	0	1	1	1	0
CG11149	56	42	76	68	68	85
sip1	25	19	43	45	49	55
CG11030	46	68	96	73	94	113
CG14006	16	20	21	28	34	45
CG11147	513	472	782	619	877	982
CG11029	7	7	17	8	21	22
obst-E	41	30	53	55	57	67
CG9171	102	128	188	167	225	206
CG31913	41	47	64	67	61	98
CG14005	25	15	43	27	34	46
CG7239	34	32	40	37	62	74
CG11034	168	171	217	174	291	291
CG43307	4	5	7	6	4	12
CG31644	13	8	13	10	19	27
TrissinR	6	10	20	18	16	15
rau	11	15	24	22	17	36
CG44574	8	9	17	13	17	15
Sfp26Ac	12	7	19	12	11	18
CG43185	19	13	19	14	17	22
CG9029	539	574	896	826	1089	1184
Acp26Ab	187	184	272	275	358	340
Acp26Aa	166	199	323	254	322	455
CG9021	1	3	5	2	1	3
bchs	106	98	136	147	180	220
CG14000	6	10	21	12	28	16
CG9016	153	178	235	243	311	402
dsf	0	0	3	0	1	1
Sfp26Ad	78	79	116	121	115	141
Gpdh1	1849	1939	2866	2691	3420	3789
CG9044	144	144	217	221	260	322
CG13999	8	10	22	11	22	19
CG13998	1	0	3	1	1	0
Vm26Ab	419	446	694	664	892	954
Vm26Ac	26	21	30	21	46	43
Vm26Aa	1033	965	1556	1480	1874	2038
psd	74	65	123	103	147	146
CG13992	16	8	23	18	22	23
Ucp4C	25	25	25	27	39	57
Ucp4B	9	14	14	13	17	25
chic	670	749	1077	1015	1261	1497
eIF4A	2392	2492	3791	3412	4354	4959
ifc	287	310	436	434	494	611
lid	222	221	350	318	422	484
Tsp26A	32	23	31	26	38	50
Gal	168	132	221	205	256	280
CG9098	8	13	13	9	14	14
H2.0	3	1	6	0	1	5
CG13996	0	1	3	1	2	1
CG9107	19	26	23	31	29	40
CG9109	3	1	4	1	1	4
mtm	109	93	127	150	201	178
CG9117	7	9	9	6	5	15
CG31643	27	31	47	53	52	71
Pfas	705	681	1119	1021	1291	1404
slmo	399	400	688	652	843	887
CG34179	399	400	688	652	843	887
IPIP	47	54	78	72	87	90
CG9135	117	120	169	131	193	229
CG13995	8	14	11	7	21	13
CG34180	3	3	5	9	5	8
ND-51	1129	1153	1740	1685	2105	2292
CG13994	36	34	59	42	71	66
Fbw5	49	52	51	66	83	95
CG9147	70	99	131	131	148	151
CG9150	16	14	18	14	25	23
Pfdn1	48	40	70	64	91	85
CG9154	23	23	44	33	37	47
Kr-h2	221	229	334	310	398	459
Kr-h1	125	117	190	165	234	267
CG45075	100	92	149	136	182	214
CG9175	83	65	130	114	152	170
stai	150	138	228	228	258	346
CG31642	18	17	54	37	41	46
Arpc4	98	93	135	145	185	203
WDR79	27	26	43	50	51	69
B9d2	6	7	9	16	11	23
tctn	6	7	9	16	11	23
CG9222	46	42	85	62	78	90
CG13991	78	70	130	89	124	136
Muc26B	0	0	0	0	0	0
CG31639	66	55	87	88	106	131
CG13989	27	21	36	39	39	61
smal	30	39	64	42	64	86
Ugt37B1	8	4	9	10	13	15
Ddr	7	10	14	16	18	14
AANATL2	10	8	15	13	18	17
CG13983	0	0	0	0	0	0
CG43922	8	10	10	7	18	9
CG13984	7	7	15	10	15	12
PDZ-GEF	135	132	199	189	256	233
Pez	59	70	104	103	110	102
Cpr	2894	2939	4774	4296	5528	6186
CG9497	51	53	92	80	108	110
CG9498	277	316	521	453	598	645
ppk7	0	0	0	0	0	0
ppk14	0	0	0	0	0	0
CG9500	0	0	0	0	0	1
Nepl4	40	35	60	64	80	86
slam	19	31	34	30	36	54
DIP-epsilon	23	21	43	30	50	53
Nepl5	20	33	49	39	63	60
Nepl6	120	135	216	185	249	252
CG42369	524	572	873	841	1084	1143
CG13982	4	4	7	8	7	5
Tig	177	190	298	279	343	376
Fic	66	88	113	114	157	145
CG9527	439	426	643	592	763	876
retm	150	151	229	226	295	294
frj	151	130	258	227	295	348
